Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,119.309998,120.089996,117.650002,119.199997,104.022408,3172290
2016-07-19,119.190002,119.800003,117.730003,119.000000,103.847878,3343110
2016-07-20,118.550003,119.099998,112.760002,114.730003,100.121574,10283760
2016-07-21,115.510002,116.690002,113.779999,115.389999,100.697533,5194740
2016-07-22,116.500000,117.430000,115.949997,115.949997,101.186234,3221580
2016-07-25,116.080002,118.110001,116.050003,117.349998,102.407974,2659250
2016-07-26,117.300003,117.300003,114.029999,114.500000,99.920853,4276410
2016-07-27,114.860001,115.300003,113.669998,114.000000,99.484520,7927190
2016-07-28,114.529999,114.949997,113.220001,114.949997,100.313560,3407760
2016-07-29,114.709999,114.879997,112.339996,113.510002,99.056915,6081580
2016-08-01,113.540001,114.500000,112.510002,112.699997,98.350044,5074990
2016-08-02,112.699997,112.820000,110.599998,111.269997,97.102127,6978850
2016-08-03,111.000000,111.949997,110.750000,111.629997,97.416290,2861800
2016-08-04,112.000000,115.550003,112.000000,115.190002,100.522995,7096790
2016-08-05,115.580002,116.470001,113.620003,114.870003,100.243752,4490550
2016-08-08,114.900002,117.989998,114.800003,117.940002,102.922844,5138270
2016-08-09,117.639999,118.500000,117.080002,117.519997,102.556320,4015180
2016-08-10,117.650002,120.699997,117.000000,119.000000,103.847878,8686270
2016-08-11,118.500000,120.180000,117.330002,119.480003,104.266762,4360480
2016-08-12,119.500000,123.320000,119.500000,123.000000,107.338562,12349640
2016-08-15,123.489998,125.750000,122.989998,124.989998,109.075180,7909000
2016-08-16,124.500000,129.440002,124.129997,129.440002,112.958565,6710190
2016-08-17,127.000000,128.350006,125.519997,126.610001,110.488907,9699360
2016-08-18,127.000000,127.870003,126.029999,126.599998,110.480179,3247690
2016-08-19,126.900002,127.800003,125.500000,126.000000,109.956573,3840620
2016-08-22,125.739998,126.989998,124.620003,125.550003,109.563881,3284360
2016-08-23,125.430000,126.370003,124.199997,124.900002,108.996635,2988990
2016-08-24,124.269997,127.000000,124.150002,127.000000,110.829247,3316297
2016-08-25,126.989998,128.000000,126.220001,127.010002,110.837975,3617380
2016-08-26,127.010002,131.350006,126.699997,130.750000,114.101768,5793320
2016-08-29,130.300003,132.399994,129.500000,132.339996,115.489304,3023510
2016-08-30,132.289993,132.339996,130.500000,130.630005,113.997047,2753910
